exp,algo,scale,hostname,recv_drop,recv_errs,recv_packets,send_bytes,send_drop,send_errs,send_packets,timestamp
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4211,33028538,0,0,4486,1.513125467542333E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4736,27897715,0,0,5378,1.513125472541152E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4276,26013303,0,0,4852,1.513125472542433E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5359,34243546,0,0,5415,1.513125472542943E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5440,30115611,0,0,5703,1.513125472543012E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4775,37033246,0,0,5083,1.51312547254427E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4497,27983603,0,0,4805,1.513125472544493E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4084,23520540,0,0,4480,1.51312547254787E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,8254,51005746,0,0,9474,1.513125477544489E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,7727,64568789,0,0,8247,1.513125477545323E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,8145,56518984,0,0,8841,1.513125477547037E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,6844,51165297,0,0,7380,1.513125477547099E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,7200,52029585,0,0,7586,1.513125477547876E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,8278,61874771,0,0,8554,1.513125477548372E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,6469,48512061,0,0,7115,1.513125477553503E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5708,38775985,0,0,6074,1.513125482547822E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4827,31370112,0,0,5473,1.513125482548696E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4777,31538695,0,0,5069,1.513125482551886E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4746,34710345,0,0,4936,1.513125482552747E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4442,31113683,0,0,5028,1.513125482552938E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5349,37633183,0,0,5451,1.513125482554384E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4242,29280402,0,0,4804,1.513125482559046E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,7567,40009975,0,0,8075,1.513125487552923E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5700,37186724,0,0,6171,1.513125487554254E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,5631,34346886,0,0,6217,1.513125487555224E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5322,36887529,0,0,5659,1.513125487558297E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,6677,43223246,0,0,7381,1.513125487558522E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,7736,41638006,0,0,8153,1.513125487560027E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4754,33185861,0,0,5116,1.513125487563518E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5622,47486415,0,0,5857,1.513125492558667E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5184,36820636,0,0,5888,1.513125492560003E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4656,36859451,0,0,5191,1.513125492560838E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5561,35543910,0,0,6130,1.513125492563939E9
