exp,algo,scale,hostname,load5,load10,load15,procs,timestamp
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,5.27,8.87,10.55,679,1.513125497566337E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.42,5.78,6.43,681,1.513125497568913E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.25,5.91,6.67,681,1.513125497569717E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.09,5.43,6.26,683,1.513125497570053E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.54,5.9,6.52,743,1.51312549757485E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.54,5.54,6.17,772,1.513125502570003E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.24,5.49,6.45,680,1.513125502570423E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,4.99,5.68,6.4,681,1.513125502571753E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,5.65,8.89,10.55,679,1.513125502572137E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,3.76,5.34,6.23,683,1.513125502573518E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.55,5.96,6.69,681,1.513125502575267E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,5.17,5.82,6.49,743,1.513125502580393E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.3,5.48,6.44,680,1.513125507573224E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.57,5.55,6.17,772,1.513125507575309E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.15,5.7,6.4,681,1.513125507576083E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,5.68,8.84,10.52,679,1.513125507577492E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,5.26,5.89,6.66,681,1.513125507578306E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,3.94,5.36,6.22,683,1.513125507578814E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.76,5.72,6.46,743,1.513125507585997E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.45,5.52,6.16,772,1.513125512576923E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.68,5.54,6.46,680,1.513125512578732E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,5.46,8.74,10.48,679,1.513125512579556E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.62,5.79,6.43,681,1.513125512579772E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.84,5.8,6.62,681,1.513125512580153E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.27,5.4,6.23,683,1.513125512584303E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.38,5.63,6.42,743,1.513125512587812E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.01,5.43,6.12,772,1.513125517580876E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,5.03,5.6,6.47,680,1.513125517581403E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,5.03,8.6,10.43,679,1.513125517583563E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.97,5.86,6.45,681,1.513125517584385E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.69,5.75,6.6,681,1.513125517584478E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.73,5.48,6.26,683,1.513125517589158E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.03,5.54,6.39,743,1.513125517593334E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.61,5.34,6.09,772,1.513125522586668E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.78,5.54,6.45,680,1.513125522587271E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,6.13,5.9,6.46,681,1.513125522587565E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,4.62,8.45,10.37,679,1.513125522587641E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.32,5.65,6.57,681,1.513125522590105E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.83,5.49,6.25,683,1.513125522594724E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.1,5.53,6.38,743,1.513125522595894E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.4,5.45,6.41,680,1.513125527589413E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.24,5.25,6.06,772,1.513125527591141E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.96,5.87,6.44,681,1.513125527593052E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,4.25,8.31,10.32,679,1.513125527593238E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.69,5.71,6.58,681,1.513125527595764E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.44,5.39,6.22,683,1.513125527600234E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.5,5.58,6.39,743,1.513125527601543E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,4.05,5.35,6.38,680,1.513125532591594E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.8,5.84,6.43,681,1.513125532595671E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,4.7,5.33,6.08,772,1.513125532596719E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,4.47,8.29,10.3,679,1.513125532598765E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,4.48,5.65,6.56,681,1.51312553260041E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,4.17,5.32,6.19,683,1.513125532605745E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,4.38,5.54,6.38,743,1.513125532607097E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,3.72,5.27,6.34,680,1.513125537595827E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,5.45,5.48,6.12,772,1.513125537597844E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,5.34,5.74,6.4,681,1.513125537599715E9
